Interval,Timestamp,Flume Depth(mm)[Central1_8S1897],AV Flow(l/s)[Central1_8S1897],Flume Flow(l/s)[Central1_8S1897],Total Precipitation (mm)[RG_RomanoWRP]
15 Min,2021-04-05 19:00,19.52,0.95,0.37,0
15 Min,2021-04-05 19:15,18.49,0.55,0.31,0
15 Min,2021-04-05 19:30,14.88,0.18,0.21,0
15 Min,2021-04-05 19:45,13.83,0.16,0.23,0
15 Min,2021-04-05 20:00,15.68,0.03,0.27,0
15 Min,2021-04-05 20:15,14.16,0.04,0.23,0
15 Min,2021-04-05 20:30,17.13,0.49,0.34,0
15 Min,2021-04-05 20:45,15.35,0.12,0.22,0
15 Min,2021-04-05 21:00,13.76,0.18,0.22,0
15 Min,2021-04-05 21:15,13.76,0,0.19,0
15 Min,2021-04-05 21:30,12.97,0.04,0.19,0
15 Min,2021-04-05 21:45,14.03,0.1,0.21,0
15 Min,2021-04-05 22:00,12.17,0.23,0.18,0
15 Min,2021-04-05 22:15,13.43,0.26,0.22,0
15 Min,2021-04-05 22:30,16.08,0.23,0.27,0
15 Min,2021-04-05 22:45,13.3,0.03,0.17,0
15 Min,2021-04-05 23:00,12.11,0.06,0.16,0
15 Min,2021-04-05 23:15,12.11,0,0.16,0
15 Min,2021-04-05 23:30,11.64,0.03,0.17,0
15 Min,2021-04-05 23:45,11.97,0.05,0.15,0
15 Min,2021-04-06 0:00,12.37,0.08,0.17,0
15 Min,2021-04-06 0:15,11.71,0.13,0.17,0
15 Min,2021-04-06 0:30,14.16,0.28,0.2,0
15 Min,2021-04-06 0:45,10.98,0,0.13,0
15 Min,2021-04-06 1:00,12.31,0.17,0.22,0
15 Min,2021-04-06 1:15,15.08,0.18,0.22,0
15 Min,2021-04-06 1:30,13.3,0.26,0.2,0
15 Min,2021-04-06 1:45,11.25,0.21,0.15,0
15 Min,2021-04-06 2:00,11.31,0,0.13,0
15 Min,2021-04-06 2:15,10.98,0,0.14,0
15 Min,2021-04-06 2:30,11.78,0.07,0.16,0
15 Min,2021-04-06 2:45,12.37,0.07,0.17,0
15 Min,2021-04-06 3:00,12.24,0.12,0.17,0
15 Min,2021-04-06 3:15,10.78,0.01,0.15,0
15 Min,2021-04-06 3:30,12.17,0.01,0.15,0
15 Min,2021-04-06 3:45,10.72,0,0.13,0
15 Min,2021-04-06 4:00,11.18,0,0.15,0
15 Min,2021-04-06 4:15,11.38,0.1,0.17,0
15 Min,2021-04-06 4:30,13.23,0.09,0.17,0
15 Min,2021-04-06 4:45,11.71,0.01,0.14,0
15 Min,2021-04-06 5:00,11.38,0,0.15,0
15 Min,2021-04-06 5:15,10.98,0.06,0.15,0
15 Min,2021-04-06 5:30,12.37,0.21,0.2,0
15 Min,2021-04-06 5:45,15.55,0.39,0.27,0
15 Min,2021-04-06 6:00,15.28,0.37,0.23,0
15 Min,2021-04-06 6:15,13.96,0.42,0.19,0
15 Min,2021-04-06 6:30,12.44,0.37,0.21,0
15 Min,2021-04-06 6:45,13.83,0.23,0.21,0
15 Min,2021-04-06 7:00,15.48,0.35,0.31,0
15 Min,2021-04-06 7:15,19.91,0.8,0.42,0
15 Min,2021-04-06 7:30,17.8,0.51,0.3,0
15 Min,2021-04-06 7:45,13.43,0.37,0.32,0
15 Min,2021-04-06 8:00,27.65,0.28,0.67,0
15 Min,2021-04-06 8:15,15.81,0.31,0.28,0
15 Min,2021-04-06 8:30,13.89,0.03,0.18,0
15 Min,2021-04-06 8:45,13.5,0.11,0.22,0
15 Min,2021-04-06 9:00,13.96,0.03,0.21,0
15 Min,2021-04-06 9:15,13.96,0.1,0.25,0
15 Min,2021-04-06 9:30,15.41,0.08,0.23,0
15 Min,2021-04-06 9:45,13.69,0.12,0.2,0
15 Min,2021-04-06 10:00,16.54,0.71,0.39,0
15 Min,2021-04-06 10:15,17.4,0.11,0.28,0
15 Min,2021-04-06 10:30,15.02,0.17,0.27,0
15 Min,2021-04-06 10:45,17,0.15,0.31,0
15 Min,2021-04-06 11:00,14.88,0.05,0.19,0
15 Min,2021-04-06 11:15,14.49,0.18,0.25,0
15 Min,2021-04-06 11:30,12.97,0.01,0.17,0
15 Min,2021-04-06 11:45,13.76,0.15,0.24,0
15 Min,2021-04-06 12:00,14.16,0.08,0.21,0
15 Min,2021-04-06 12:15,12.37,0.03,0.17,0
15 Min,2021-04-06 12:30,12.83,0.03,0.23,0
15 Min,2021-04-06 12:45,17.2,0.21,0.32,0
15 Min,2021-04-06 13:00,14.49,0.02,0.18,0
15 Min,2021-04-06 13:15,13.1,0.11,0.21,0
15 Min,2021-04-06 13:30,12.44,0.06,0.17,0
15 Min,2021-04-06 13:45,14.82,0.16,0.23,0
15 Min,2021-04-06 14:00,12.9,0.17,0.2,0
15 Min,2021-04-06 14:15,14.82,0.23,0.29,0
15 Min,2021-04-06 14:30,15.94,0.28,0.23,0
15 Min,2021-04-06 14:45,15.41,0.34,0.3,0
15 Min,2021-04-06 15:00,15.68,0.32,0.35,0
15 Min,2021-04-06 15:15,16.21,0.08,0.21,0
15 Min,2021-04-06 15:30,14.62,0.13,0.23,0
15 Min,2021-04-06 15:45,13.89,0.18,0.21,0
15 Min,2021-04-06 16:00,14.42,0.22,0.29,0
15 Min,2021-04-06 16:15,18.66,0.16,0.33,0
15 Min,2021-04-06 16:30,17.53,0.32,0.34,0
15 Min,2021-04-06 16:45,14.82,0.05,0.29,0
15 Min,2021-04-06 17:00,17.07,0.21,0.3,0
15 Min,2021-04-06 17:15,16.87,0.05,0.31,0
15 Min,2021-04-06 17:30,15.68,0.1,0.25,0
15 Min,2021-04-06 17:45,14.42,0.13,0.26,0
15 Min,2021-04-06 18:00,16.21,0.21,0.29,0
15 Min,2021-04-06 18:15,17.33,0.38,0.31,0
15 Min,2021-04-06 18:30,16.94,0.07,0.3,0
15 Min,2021-04-06 18:45,15.22,0,0.25,0
15 Min,2021-04-06 19:00,16.6,0.19,0.35,0
15 Min,2021-04-06 19:15,16.31,0.26,0.3,0
15 Min,2021-04-06 19:30,16.08,0.06,0.27,0
15 Min,2021-04-06 19:45,15.68,0.16,0.26,0
15 Min,2021-04-06 20:00,15.68,0.08,0.3,0
15 Min,2021-04-06 20:15,16.54,0.04,0.23,0
15 Min,2021-04-06 20:30,12.64,0.24,0.16,0
15 Min,2021-04-06 20:45,14.29,0.18,0.31,0
15 Min,2021-04-06 21:00,19.58,0.25,0.39,0
15 Min,2021-04-06 21:15,15.22,0.19,0.25,0
15 Min,2021-04-06 21:30,18.26,0.12,0.38,0
15 Min,2021-04-06 21:45,14.82,0.06,0.2,0
15 Min,2021-04-06 22:00,12.9,0.03,0.18,0
15 Min,2021-04-06 22:15,15.61,0.12,0.29,0
15 Min,2021-04-06 22:30,14.82,0.06,0.25,0
15 Min,2021-04-06 22:45,13.83,0.01,0.2,0
15 Min,2021-04-06 23:00,14.82,0,0.27,0
15 Min,2021-04-06 23:15,15.41,0.01,0.27,0
15 Min,2021-04-06 23:30,15.74,0,0.26,0
15 Min,2021-04-06 23:45,16.01,0,0.34,0
15 Min,2021-04-07 0:00,17.73,0,0.26,0
15 Min,2021-04-07 0:15,12.37,0,0.16,0
15 Min,2021-04-07 0:30,10.25,0,0.11,0
15 Min,2021-04-07 0:45,9.46,0,0.11,0
15 Min,2021-04-07 1:00,10.59,0,0.12,0
15 Min,2021-04-07 1:15,10.06,0.3,0.27,0
15 Min,2021-04-07 1:30,15.94,0.01,0.16,0
15 Min,2021-04-07 1:45,14.62,0.07,0.27,0
15 Min,2021-04-07 2:00,12.17,0,0.15,0
15 Min,2021-04-07 2:15,10.65,0.08,0.18,0
15 Min,2021-04-07 2:30,13.89,0.04,0.21,0
15 Min,2021-04-07 2:45,15.22,0.14,0.25,0
15 Min,2021-04-07 3:00,11.97,0,0.13,0
15 Min,2021-04-07 3:15,10.85,0,0.13,0
15 Min,2021-04-07 3:30,10.32,0,0.12,0
15 Min,2021-04-07 3:45,10.59,0.01,0.13,0
15 Min,2021-04-07 4:00,10.98,0.01,0.14,0
15 Min,2021-04-07 4:15,10.78,0,0.13,0
15 Min,2021-04-07 4:30,12.83,0.03,0.21,0
15 Min,2021-04-07 4:45,12.9,0.11,0.17,0
15 Min,2021-04-07 5:00,11.58,0.03,0.15,0
15 Min,2021-04-07 5:15,12.57,0.08,0.17,0
15 Min,2021-04-07 5:30,11.25,0.01,0.15,0
15 Min,2021-04-07 5:45,13.89,0.07,0.24,0
15 Min,2021-04-07 6:00,14.03,0.29,0.22,0
15 Min,2021-04-07 6:15,13.5,0.14,0.19,0
15 Min,2021-04-07 6:30,13.76,0.18,0.2,0
15 Min,2021-04-07 6:45,11.25,0.03,0.14,0
15 Min,2021-04-07 7:00,13.69,0.53,0.38,0
15 Min,2021-04-07 7:15,19.12,0.37,0.31,0
15 Min,2021-04-07 7:30,15.61,0.28,0.21,0
15 Min,2021-04-07 7:45,14.82,0.3,0.29,0
15 Min,2021-04-07 8:00,15.08,0.12,0.22,0
15 Min,2021-04-07 8:15,20.84,0.24,0.7,0
15 Min,2021-04-07 8:30,25.73,0.3,0.68,0
15 Min,2021-04-07 8:45,25.8,0.5,0.56,0
15 Min,2021-04-07 9:00,15.55,0.6,0.24,0
15 Min,2021-04-07 9:15,14.36,0.31,0.24,0
15 Min,2021-04-07 9:30,15.81,0.37,0.33,0
15 Min,2021-04-07 9:45,16.74,0.59,0.31,0
15 Min,2021-04-07 10:00,16.21,0.37,0.27,0
15 Min,2021-04-07 10:15,17.33,0.37,0.28,0
15 Min,2021-04-07 10:30,15.35,0.33,0.28,0
15 Min,2021-04-07 10:45,14.22,0.28,0.19,0
15 Min,2021-04-07 11:00,12.83,0.29,0.19,0
15 Min,2021-04-07 11:15,15.35,0.5,0.31,0
15 Min,2021-04-07 11:30,19.85,0.39,0.48,0
15 Min,2021-04-07 11:45,17.33,0.57,0.25,0
15 Min,2021-04-07 12:00,13.36,0.54,0.24,0
15 Min,2021-04-07 12:15,15.61,0.44,0.22,0
15 Min,2021-04-07 12:30,13.5,0.34,0.26,0
15 Min,2021-04-07 12:45,15.94,0.32,0.25,0
15 Min,2021-04-07 13:00,16.27,0.44,0.31,0
15 Min,2021-04-07 13:15,14.16,0.06,0.18,0
15 Min,2021-04-07 13:30,12.83,0.41,0.24,0
15 Min,2021-04-07 13:45,14.55,0.09,0.18,0
15 Min,2021-04-07 14:00,12.97,0.2,0.19,0
15 Min,2021-04-07 14:15,14.69,0.27,0.27,0
15 Min,2021-04-07 14:30,14.09,0.19,0.21,0
15 Min,2021-04-07 14:45,14.95,0.39,0.28,0
15 Min,2021-04-07 15:00,17,0.6,0.33,0
15 Min,2021-04-07 15:15,17.53,0.56,0.34,0
15 Min,2021-04-07 15:30,16.41,0.35,0.29,0
15 Min,2021-04-07 15:45,16.21,0.65,0.31,0
15 Min,2021-04-07 16:00,17,0.38,0.25,0
15 Min,2021-04-07 16:15,15.08,0.45,0.28,0
15 Min,2021-04-07 16:30,17,0.69,0.33,0
15 Min,2021-04-07 16:45,15.94,0.45,0.23,0
15 Min,2021-04-07 17:00,13.56,0.41,0.24,0
15 Min,2021-04-07 17:15,14.49,0.32,0.22,0
15 Min,2021-04-07 17:30,15.08,0.65,0.27,0
15 Min,2021-04-07 17:45,15.28,0.74,0.25,0
15 Min,2021-04-07 18:00,15.81,0.49,0.27,0
15 Min,2021-04-07 18:15,15.28,0.06,0.22,0
15 Min,2021-04-07 18:30,13.96,0.46,0.23,0
15 Min,2021-04-07 18:45,16.87,0.31,0.34,0
15 Min,2021-04-07 19:00,13.63,0.15,0.3,0
15 Min,2021-04-07 19:15,17.37,0.28,0.31,0
15 Min,2021-04-07 19:30,16.27,0.22,0.29,0
15 Min,2021-04-07 19:45,16.14,0.53,0.3,0
15 Min,2021-04-07 20:00,17.8,0.53,0.32,0
15 Min,2021-04-07 20:15,11.45,0.06,0.15,0
15 Min,2021-04-07 20:30,12.17,0.35,0.22,0
15 Min,2021-04-07 20:45,17.6,0.37,0.3,0
15 Min,2021-04-07 21:00,11.51,0.04,0.13,0
15 Min,2021-04-07 21:15,12.37,0.23,0.19,0
15 Min,2021-04-07 21:30,12.37,0.24,0.18,0
15 Min,2021-04-07 21:45,15.08,0.38,0.26,0
15 Min,2021-04-07 22:00,13.76,0.29,0.19,0
15 Min,2021-04-07 22:15,15.08,0.46,0.28,0
15 Min,2021-04-07 22:30,13.36,0.11,0.15,0
15 Min,2021-04-07 22:45,12.5,0.23,0.17,0
15 Min,2021-04-07 23:00,12.31,0.11,0.18,0
15 Min,2021-04-07 23:15,10.72,0.14,0.14,0
15 Min,2021-04-07 23:30,10.85,0.09,0.14,0
15 Min,2021-04-07 23:45,11.84,0.03,0.15,0
15 Min,2021-04-08 0:00,13.83,0.19,0.21,0
15 Min,2021-04-08 0:15,11.58,0.05,0.14,0
15 Min,2021-04-08 0:30,10.32,0.01,0.12,0
15 Min,2021-04-08 0:45,11.71,0.24,0.2,0
15 Min,2021-04-08 1:00,12.7,0.22,0.17,0
15 Min,2021-04-08 1:15,12.64,0.17,0.15,0
15 Min,2021-04-08 1:30,10.65,0.09,0.14,0
15 Min,2021-04-08 1:45,10.78,0.09,0.15,0
15 Min,2021-04-08 2:00,11.84,0.11,0.13,0
15 Min,2021-04-08 2:15,10.19,0.15,0.13,0
15 Min,2021-04-08 2:30,11.38,0.07,0.14,0
15 Min,2021-04-08 2:45,10.25,0.02,0.12,0
15 Min,2021-04-08 3:00,9.99,0.04,0.13,0
15 Min,2021-04-08 3:15,10.59,0.05,0.12,0
15 Min,2021-04-08 3:30,10.59,0.14,0.13,0
15 Min,2021-04-08 3:45,10.32,0.23,0.18,0
15 Min,2021-04-08 4:00,12.24,0,0.12,0
15 Min,2021-04-08 4:15,10.25,0.07,0.12,0
15 Min,2021-04-08 4:30,12.77,0.18,0.19,0
15 Min,2021-04-08 4:45,10.92,0.04,0.13,0
15 Min,2021-04-08 5:00,10.45,0.1,0.12,0
15 Min,2021-04-08 5:15,10.72,0.23,0.16,0
15 Min,2021-04-08 5:30,12.9,0.38,0.2,0
15 Min,2021-04-08 5:45,13.69,0.28,0.2,0
15 Min,2021-04-08 6:00,14.88,0.25,0.25,0
15 Min,2021-04-08 6:15,14.69,0.48,0.23,0
15 Min,2021-04-08 6:30,17,0.33,0.31,0
15 Min,2021-04-08 6:45,12.44,0.31,0.2,0
15 Min,2021-04-08 7:00,15.02,0.59,0.27,0
15 Min,2021-04-08 7:15,15.68,0.51,0.23,0
15 Min,2021-04-08 7:30,14.36,0.26,0.24,0
15 Min,2021-04-08 7:45,14.69,0.3,0.22,0
15 Min,2021-04-08 8:00,13.5,0.27,0.18,0
15 Min,2021-04-08 8:15,15.22,0.45,0.34,0
15 Min,2021-04-08 8:30,16.47,0.35,0.25,0
15 Min,2021-04-08 8:45,12.7,0.24,0.17,0
15 Min,2021-04-08 9:00,12.97,0.54,0.23,0
15 Min,2021-04-08 9:15,15.88,0.46,0.25,0
15 Min,2021-04-08 9:30,14.49,0.33,0.22,0
15 Min,2021-04-08 9:45,13.36,0.24,0.19,0
15 Min,2021-04-08 10:00,14.55,0.18,0.23,0
15 Min,2021-04-08 10:15,11.58,0.16,0.17,0
15 Min,2021-04-08 10:30,18.85,0.37,0.4,0
15 Min,2021-04-08 10:45,20.24,0.18,0.7,0
15 Min,2021-04-08 11:00,28.78,0.32,0.85,0
15 Min,2021-04-08 11:15,19.85,0.34,0.27,0
15 Min,2021-04-08 11:30,15.35,0.4,0.3,0
15 Min,2021-04-08 11:45,18.13,0.36,0.31,0
15 Min,2021-04-08 12:00,13.3,0.06,0.19,0
15 Min,2021-04-08 12:15,13.69,0.29,0.28,0
15 Min,2021-04-08 12:30,17,0.51,0.35,0
15 Min,2021-04-08 12:45,16.01,0.5,0.27,0
15 Min,2021-04-08 13:00,14.88,0.11,0.18,0
15 Min,2021-04-08 13:15,12.83,0.4,0.2,0
15 Min,2021-04-08 13:30,13.17,0.22,0.2,0
15 Min,2021-04-08 13:45,14.95,0.4,0.25,0
15 Min,2021-04-08 14:00,14.69,0.23,0.23,0
15 Min,2021-04-08 14:15,11.84,0.18,0.17,0
15 Min,2021-04-08 14:30,14.69,0.29,0.23,0
15 Min,2021-04-08 14:45,15.35,0.59,0.29,0
15 Min,2021-04-08 15:00,17.73,0.33,0.34,0
15 Min,2021-04-08 15:15,14.29,0.47,0.23,0
15 Min,2021-04-08 15:30,15.35,0.24,0.24,0
15 Min,2021-04-08 15:45,13.69,0.2,0.22,0
15 Min,2021-04-08 16:00,18.19,0.35,0.45,0
15 Min,2021-04-08 16:15,18.59,0.29,0.34,0
15 Min,2021-04-08 16:30,23.95,0.33,0.66,0
15 Min,2021-04-08 16:45,17.86,0.39,0.32,0.1
15 Min,2021-04-08 17:00,19.32,0.46,0.49,0.9
15 Min,2021-04-08 17:15,22.89,0.76,0.55,0.6
15 Min,2021-04-08 17:30,21.57,0.84,0.45,1.9
15 Min,2021-04-08 17:45,18.52,0.48,0.38,0.6
15 Min,2021-04-08 18:00,19.05,0.37,0.38,1
15 Min,2021-04-08 18:15,18.13,0.65,0.33,1.2
15 Min,2021-04-08 18:30,15.81,0.35,0.26,0.2
15 Min,2021-04-08 18:45,16.87,0.15,0.32,0.1
15 Min,2021-04-08 19:00,15.61,0.32,0.24,0.1
15 Min,2021-04-08 19:15,14.92,0.17,0.21,0.3
15 Min,2021-04-08 19:30,13.3,0.27,0.23,0.1
15 Min,2021-04-08 19:45,16.54,0.39,0.28,0.1
15 Min,2021-04-08 20:00,14.22,0.52,0.25,0.1
15 Min,2021-04-08 20:15,16.94,0.26,0.32,0
15 Min,2021-04-08 20:30,18.32,0.38,0.35,0
15 Min,2021-04-08 20:45,17.27,0.29,0.32,0
15 Min,2021-04-08 21:00,14.82,0.22,0.22,0
15 Min,2021-04-08 21:15,13.69,0.36,0.2,0
15 Min,2021-04-08 21:30,14.55,0.53,0.29,0
15 Min,2021-04-08 21:45,15.15,0.14,0.2,0
15 Min,2021-04-08 22:00,13.5,0.13,0.21,0
15 Min,2021-04-08 22:15,14.55,0.5,0.26,0
15 Min,2021-04-08 22:30,13.96,0.43,0.19,0
15 Min,2021-04-08 22:45,13.23,0.26,0.19,0
15 Min,2021-04-08 23:00,19.38,0.28,0.46,0
15 Min,2021-04-08 23:15,12.24,0.04,0.17,0
15 Min,2021-04-08 23:30,13.63,0.34,0.23,0
15 Min,2021-04-08 23:45,12.97,0.23,0.17,0
15 Min,2021-04-09 0:00,13.03,0.07,0.18,0
15 Min,2021-04-09 0:15,12.31,0.26,0.19,0
15 Min,2021-04-09 0:30,12.7,0.11,0.16,0.1
15 Min,2021-04-09 0:45,13.36,0.25,0.2,0.5
15 Min,2021-04-09 1:00,12.5,0.26,0.18,0
15 Min,2021-04-09 1:15,13.03,0.36,0.19,0
15 Min,2021-04-09 1:30,14.09,0.26,0.23,0
15 Min,2021-04-09 1:45,13.56,0.23,0.19,0
15 Min,2021-04-09 2:00,13.1,0.28,0.19,0.6
15 Min,2021-04-09 2:15,13.17,0.08,0.19,0.9
15 Min,2021-04-09 2:30,13.83,0.32,0.21,0.1
15 Min,2021-04-09 2:45,13.17,0.27,0.23,0.1
15 Min,2021-04-09 3:00,14.02,0.03,0.18,0.2
15 Min,2021-04-09 3:15,12.17,0,0.17,0.1
15 Min,2021-04-09 3:30,12.5,0.08,0.18,0
15 Min,2021-04-09 3:45,13.1,0.16,0.2,0
15 Min,2021-04-09 4:00,12.97,0.14,0.17,0
15 Min,2021-04-09 4:15,13.3,0.3,0.21,0
15 Min,2021-04-09 4:30,14.75,0.31,0.23,0
15 Min,2021-04-09 4:45,11.97,0.42,0.17,0
15 Min,2021-04-09 5:00,13.23,0.32,0.19,0
15 Min,2021-04-09 5:15,12.37,0.17,0.18,0
15 Min,2021-04-09 5:30,13.36,0.4,0.24,0
15 Min,2021-04-09 5:45,13.23,0.14,0.16,0
15 Min,2021-04-09 6:00,14.22,0.54,0.25,0
15 Min,2021-04-09 6:15,16.34,0.61,0.31,0
15 Min,2021-04-09 6:30,16.47,0.49,0.29,0
15 Min,2021-04-09 6:45,15.94,0.61,0.3,0
15 Min,2021-04-09 7:00,16.67,0.48,0.3,0
15 Min,2021-04-09 7:15,15.28,0.41,0.24,0
15 Min,2021-04-09 7:30,13.76,0.31,0.22,0
15 Min,2021-04-09 7:45,14.49,0.38,0.23,0
15 Min,2021-04-09 8:00,16.41,0.43,0.28,0
15 Min,2021-04-09 8:15,12.5,0.67,0.18,0
15 Min,2021-04-09 8:30,14.69,0.5,0.23,0
15 Min,2021-04-09 8:45,12.83,0.44,0.2,0
15 Min,2021-04-09 9:00,14.16,0.38,0.22,0
15 Min,2021-04-09 9:15,13.63,0.6,0.2,0
15 Min,2021-04-09 9:30,12.97,0.47,0.19,0
15 Min,2021-04-09 9:45,14.09,0.52,0.25,0
15 Min,2021-04-09 10:00,17.93,0.35,0.3,0
15 Min,2021-04-09 10:15,13.69,0.24,0.22,0
15 Min,2021-04-09 10:30,16.08,0.52,0.32,0
15 Min,2021-04-09 10:45,16.87,0.68,0.31,0
15 Min,2021-04-09 11:00,15.55,0.35,0.24,0
15 Min,2021-04-09 11:15,14.29,0.4,0.22,0
15 Min,2021-04-09 11:30,17.73,0.53,0.44,0
15 Min,2021-04-09 11:45,18.06,0.47,0.29,0
15 Min,2021-04-09 12:00,14.88,0.73,0.26,0
15 Min,2021-04-09 12:15,15.28,0.31,0.25,0
15 Min,2021-04-09 12:30,14.29,0.6,0.22,0
15 Min,2021-04-09 12:45,12.97,0.37,0.17,0
15 Min,2021-04-09 13:00,12.44,0.36,0.18,0
15 Min,2021-04-09 13:15,14.69,0.54,0.26,0
15 Min,2021-04-09 13:30,15.61,0.64,0.26,0
15 Min,2021-04-09 13:45,13.63,0.3,0.19,0
15 Min,2021-04-09 14:00,13.03,0.37,0.23,0
15 Min,2021-04-09 14:15,15.41,0.36,0.25,0
15 Min,2021-04-09 14:30,14.42,0.45,0.25,0
15 Min,2021-04-09 14:45,15.81,0.88,0.33,0
15 Min,2021-04-09 15:00,18.06,0.97,0.31,0
15 Min,2021-04-09 15:15,15.61,0.55,0.23,0
15 Min,2021-04-09 15:30,17.4,1.15,0.38,0
15 Min,2021-04-09 15:45,18.59,0.84,0.33,0
15 Min,2021-04-09 16:00,15.22,0.58,0.26,0
15 Min,2021-04-09 16:15,17.33,0.81,0.34,0
15 Min,2021-04-09 16:30,16.14,0.72,0.28,0
15 Min,2021-04-09 16:45,14.75,0.54,0.24,0
15 Min,2021-04-09 17:00,14.88,0.75,0.34,0
15 Min,2021-04-09 17:15,17.93,0.26,0.24,0
15 Min,2021-04-09 17:30,13.3,0.44,0.26,0
15 Min,2021-04-09 17:45,17.4,0.64,0.35,0
15 Min,2021-04-09 18:00,16.21,0.74,0.31,0
15 Min,2021-04-09 18:15,16.94,0.48,0.25,0
15 Min,2021-04-09 18:30,17.33,0.91,0.37,0
15 Min,2021-04-09 18:45,18.13,0.51,0.35,0
15 Min,2021-04-09 19:00,16.94,0.77,0.32,0
15 Min,2021-04-09 19:15,17.46,0.73,0.32,0
15 Min,2021-04-09 19:30,15.61,0.63,0.25,0.1
15 Min,2021-04-09 19:45,14.55,0.79,0.31,0
15 Min,2021-04-09 20:00,18.39,0.78,0.32,0
15 Min,2021-04-09 20:15,17.6,0.44,0.31,0
15 Min,2021-04-09 20:30,14.55,0.44,0.26,0
15 Min,2021-04-09 20:45,14.69,0.54,0.21,0
15 Min,2021-04-09 21:00,12.97,0.22,0.18,0
15 Min,2021-04-09 21:15,13.96,0.66,0.25,0
15 Min,2021-04-09 21:30,15.55,0.55,0.28,0
15 Min,2021-04-09 21:45,17.33,0.83,0.3,0
15 Min,2021-04-09 22:00,13.43,0.34,0.19,0
15 Min,2021-04-09 22:15,12.31,0.28,0.18,0
15 Min,2021-04-09 22:30,14.16,0.55,0.21,0
15 Min,2021-04-09 22:45,14.49,0.55,0.23,0
15 Min,2021-04-09 23:00,12.9,0.46,0.22,0
15 Min,2021-04-09 23:15,14.29,0.45,0.2,0
15 Min,2021-04-09 23:30,14.29,0.34,0.24,0
15 Min,2021-04-09 23:45,13.69,0.32,0.21,0
15 Min,2021-04-10 0:00,14.03,0.35,0.2,0
15 Min,2021-04-10 0:15,12.57,0.28,0.18,0
15 Min,2021-04-10 0:30,12.83,0.37,0.18,0
15 Min,2021-04-10 0:45,12.5,0.3,0.18,0
15 Min,2021-04-10 1:00,14.03,0.51,0.22,0
15 Min,2021-04-10 1:15,12.83,0.02,0.16,0
15 Min,2021-04-10 1:30,11.58,0.21,0.16,0
15 Min,2021-04-10 1:45,11.71,0.02,0.14,0
15 Min,2021-04-10 2:00,11.11,0,0.14,0
15 Min,2021-04-10 2:15,11.51,0.06,0.16,0
15 Min,2021-04-10 2:30,12.57,0.2,0.19,0
15 Min,2021-04-10 2:45,16.08,0.89,0.27,0
15 Min,2021-04-10 3:00,11.25,0.36,0.19,0
15 Min,2021-04-10 3:15,14.36,0.35,0.18,0
15 Min,2021-04-10 3:30,11.91,0.16,0.23,0
15 Min,2021-04-10 3:45,13.63,0.05,0.14,0
15 Min,2021-04-10 4:00,11.31,0.27,0.15,0
15 Min,2021-04-10 4:15,12.83,0.38,0.19,0
15 Min,2021-04-10 4:30,11.78,0.12,0.14,0
15 Min,2021-04-10 4:45,11.71,0.14,0.16,0
15 Min,2021-04-10 5:00,11.38,0.19,0.15,0
15 Min,2021-04-10 5:15,11.97,0.39,0.21,0
15 Min,2021-04-10 5:30,13.1,0.05,0.14,0
15 Min,2021-04-10 5:45,13.03,0.44,0.19,0
15 Min,2021-04-10 6:00,12.5,0.22,0.21,0
15 Min,2021-04-10 6:15,15.08,0.38,0.23,0
15 Min,2021-04-10 6:30,12.5,0.14,0.16,0
15 Min,2021-04-10 6:45,13.1,0.28,0.2,0
15 Min,2021-04-10 7:00,12.83,0.45,0.25,0
15 Min,2021-04-10 7:15,16.41,0.6,0.33,0
15 Min,2021-04-10 7:30,16.87,0.48,0.26,0
15 Min,2021-04-10 7:45,14.88,0.33,0.21,0
15 Min,2021-04-10 8:00,13.63,0.45,0.21,0
15 Min,2021-04-10 8:15,13.36,0.4,0.22,0
15 Min,2021-04-10 8:30,15.41,0.41,0.27,0
15 Min,2021-04-10 8:45,16.8,0.72,0.32,0
15 Min,2021-04-10 9:00,16.34,0.64,0.3,0
15 Min,2021-04-10 9:15,15.68,0.61,0.23,0
15 Min,2021-04-10 9:30,12.5,0.28,0.19,0
15 Min,2021-04-10 9:45,16.08,0.54,0.31,0
15 Min,2021-04-10 10:00,16.6,0.73,0.33,0
15 Min,2021-04-10 10:15,15.88,0.07,0.24,0
15 Min,2021-04-10 10:30,15.74,0.44,0.34,0
15 Min,2021-04-10 10:45,17.2,0.71,0.31,0
15 Min,2021-04-10 11:00,17,0.31,0.26,0
15 Min,2021-04-10 11:15,14.55,0.54,0.27,0
15 Min,2021-04-10 11:30,18.92,0.67,0.39,0
15 Min,2021-04-10 11:45,15.22,0.54,0.35,0
15 Min,2021-04-10 12:00,17.13,0.33,0.23,0
15 Min,2021-04-10 12:15,16.14,0.84,0.26,0
15 Min,2021-04-10 12:30,16.47,0.58,0.29,0
15 Min,2021-04-10 12:45,12.11,0.24,0.19,0
15 Min,2021-04-10 13:00,13.23,0.55,0.2,0
15 Min,2021-04-10 13:15,13.36,0.49,0.2,0
15 Min,2021-04-10 13:30,14.03,0.2,0.19,0
15 Min,2021-04-10 13:45,13.43,0.43,0.24,0
15 Min,2021-04-10 14:00,14.49,0.6,0.22,0
15 Min,2021-04-10 14:15,16.8,0.44,0.3,0
15 Min,2021-04-10 14:30,15.15,0.54,0.26,0
15 Min,2021-04-10 14:45,16.08,0.63,0.33,0
